z	By
25.5	-6.6829153411163e-07
25.59999999999991	-6.710466777804e-07
25.699999999999818	-6.7379608026386e-07
25.800000000000182	-6.7655321345228e-07
25.90000000000009	-6.7930466229882e-07
26.0	-6.8206384185032e-07
26.09999999999991	-6.848241582702e-07
26.199999999999818	-6.8757861981794e-07
26.300000000000182	-6.9034086891406e-07
26.40000000000009	-6.9309749051172e-07
26.5	-6.9586184281434e-07
26.59999999999991	-6.986272182985e-07
26.699999999999818	-7.0138696628419e-07
26.800000000000182	-7.0415427444459e-07
26.90000000000009	-7.0691601194994e-07
27.0	-7.0968542331684e-07
27.09999999999991	-7.1245597155212e-07
27.199999999999818	-7.1522072175867e-07
27.300000000000182	-7.1799325951361e-07
27.40000000000009	-7.2076011292665e-07
27.5	-7.2353475388809e-07
27.59999999999991	-7.2631041803106e-07
27.699999999999818	-7.2908028414531e-07
27.800000000000182	-7.3185788096453e-07
27.90000000000009	-7.3462979344185e-07
28.0	-7.3740966399782e-07
28.09999999999991	-7.4019038720508e-07
28.199999999999818	-7.4296536922702e-07
28.300000000000182	-7.4574819564077e-07
28.40000000000009	-7.4852516718238e-07
28.5	-7.5131015364605e-07
28.59999999999991	-7.5409616329125e-07
28.699999999999818	-7.5687614753406e-07
28.800000000000182	-7.5966403301209e-07
28.90000000000009	-7.6244623414823e-07
29.0	-7.6523633651959e-07
29.09999999999991	-7.6802734838566e-07
29.199999999999818	-7.70812562223e-07
29.300000000000182	-7.7360573413898e-07
29.40000000000009	-7.763929943394e-07
29.5	-7.7918821261846e-07
29.59999999999991	-7.8198428354881e-07
29.699999999999818	-7.8477472698069e-07
29.800000000000182	-7.8757284427411e-07
29.90000000000009	-7.9036533406907e-07
30.0	-7.9316566825582e-07
30.09999999999991	-7.9596691193728e-07
30.199999999999818	-7.9876241443344e-07
30.300000000000182	-8.0156570447798e-07
30.40000000000009	-8.0436331018063e-07
30.5	-8.0716870343167e-07
30.59999999999991	-8.0997506302083e-07
30.699999999999818	-8.1277579511152e-07
30.800000000000182	-8.1558420106376e-07
30.90000000000009	-8.1838686583069e-07
31.0	-8.2119748867626e-07
31.09999999999991	-8.2400913470337e-07
31.199999999999818	-8.2681469848467e-07
31.300000000000182	-8.2962833403144e-07
31.40000000000009	-8.3243611470607e-07
31.5	-8.3525185345934e-07
31.59999999999991	-8.3806844486389e-07
31.699999999999818	-8.4087940876998e-07
31.800000000000182	-8.4369821706787e-07
31.90000000000009	-8.4651111365019e-07
32.0	-8.4933191146774e-07
32.09999999999991	-8.5215367562341e-07
32.19999999999982	-8.5496969859378e-07
32.30000000000018	-8.5779362279936e-07
32.40000000000009	-8.6061163528939e-07
32.5	-8.6343754901463e-07
32.59999999999991	-8.6625783524141e-07
32.69999999999982	-8.6901928852967e-07
32.80000000000018	-8.7179046204255e-07
32.90000000000009	-8.7455839548056e-07
33.0	-8.7733644704713e-07
33.09999999999991	-8.8011773868857e-07
33.19999999999982	-8.8289533550778e-07
33.30000000000018	-8.8568327782923e-07
33.40000000000009	-8.8846758217187e-07
33.5	-8.9126189095623e-07
33.59999999999991	-8.9405943981546e-07
33.69999999999982	-8.9685380544324e-07
33.80000000000018	-8.9965811866932e-07
33.90000000000009	-9.0245873707318e-07
34.0	-9.0526964413584e-07
34.09999999999991	-9.080838481168e-07
34.19999999999982	-9.1089430043212e-07
34.30000000000018	-9.1371509824967e-07
34.40000000000009	-9.1653214440157e-07
34.5	-9.1935953605571e-07
34.59999999999991	-9.2219022462814e-07
34.69999999999982	-9.2501704784809e-07
34.80000000000018	-9.2785427341369e-07
34.90000000000009	-9.3068797468732e-07
35.0	-9.3353168040267e-07
35.09999999999991	-9.3637879672315e-07
35.19999999999982	-9.3922204769115e-07
35.30000000000018	-9.4207581469163e-07
35.40000000000009	-9.4492571633964e-07
35.5	-9.4778596348988e-07
35.59999999999991	-9.5064945071499e-07
35.69999999999982	-9.5350947049155e-07
35.80000000000018	-9.5637960839667e-07
35.90000000000009	-9.5924588094931e-07
36.0	-9.6212249900418e-07
36.09999999999991	-9.6500252766418e-07
36.19999999999982	-9.6787880465854e-07
36.30000000000018	-9.7076554084197e-07
36.40000000000009	-9.7364818429924e-07
36.5	-9.7654140063241e-07
36.59999999999991	-9.7943791388388e-07
36.69999999999982	-9.8233044809604e-07
36.80000000000018	-9.852335551841e-07
36.90000000000009	-9.8813268323283e-07
37.0	-9.9104227047064e-07
37.09999999999991	-9.9395538200042e-07
37.19999999999982	-9.9686440080404e-07
37.30000000000018	-9.9978387879673e-07
37.40000000000009	-1.0026996051238e-06
37.5	-1.0056256769531e-06
37.59999999999991	-1.0085549320138e-06
37.69999999999982	-1.011480321722e-06
37.80000000000018	-1.014416397993e-06
