z	By
15.400000000000091	4.0373276988248e-07
15.5	4.0640696852279e-07
15.599999999999909	4.0908176401899e-07
15.699999999999818	4.1175067622135e-07
15.800000000000182	4.1442672227276e-07
15.900000000000091	4.1709688503033e-07
16.0	4.197742669021e-07
16.09999999999991	4.2245230247318e-07
16.199999999999818	4.2512436948527e-07
16.300000000000182	4.2780362718986e-07
16.40000000000009	4.3047700160059e-07
16.5	4.3315762354723e-07
16.59999999999991	4.3583881392806e-07
16.699999999999818	4.3851409259332e-07
16.800000000000182	4.4119656195107e-07
16.90000000000009	4.4387311959326e-07
17.0	4.4655689634965e-07
17.09999999999991	4.4924124154022e-07
17.199999999999818	4.5191973185865e-07
17.300000000000182	4.5460541286957e-07
17.40000000000009	4.5728515374321e-07
17.5	4.5997208530935e-07
